Creature,Attack,Defence,Speed,HP,
0,5.265691,4.872779,4.693949,4.093592
1,5.128781,6.78532,4.097833,3.049158
2,5.85708,4.464532,6.145196,4.706213
3,5.728207,2.812463,6.089991,5.44486
4,5.083577,6.067932,4.155257,6.508676
5,5.141939,5.888588,7.145657,4.93499
6,3.379133,5.488251,6.123231,6.077211
7,5.92792,4.556399,6.224464,5.943462
8,5.26643,6.471741,5.771806,5.592688
9,4.477688,5.868756,5.740628,4.403616
10,5.079412,5.701245,4.693949,3.3574
11,6.023281,4.556399,4.844948,5.954285
12,5.85708,4.464532,6.145196,4.706213
13,4.45035,6.162098,4.720302,6.989097
14,5.240612,5.374568,5.971002,6.575273
15,4.615943,5.764693,6.164198,4.814355
16,6.026311,3.767695,6.134299,5.725032
17,4.696625,5.488251,5.165946,6.008312
18,4.834025,6.581359,5.740628,4.403616
19,5.899127,5.422658,4.226517,4.40485
20,5.491586,4.15437,5.231442,5.466259
21,5.846745,4.929565,5.460016,6.471377
22,6.092737,3.110386,5.248783,5.725032
23,5.505322,6.666639,5.915272,4.814355
24,3.112559,4.44475,7.073518,6.575273
25,5.024884,4.7497,4.487764,5.810881
26,5.538717,6.143378,4.456513,4.341814
27,6.063167,4.556399,6.224464,5.943462
Creature,Attack,Defence,Speed,HP,Fitness,
