Creature,Attack,Defence,Speed,HP,
0,5.246675,5.484326,4.156303,4.166904
1,2.879032,1.939064,4.825589,7.81552
2,5.649583,7.78903,4.83806,8.469069
3,7.340343,5.264555,7.130526,5.200598
4,5.395725,4.343145,4.110071,4.07631
5,5.826436,5.726235,5.297114,7.156275
6,6.24124,5.864358,5.899814,4.419227
7,5.015949,3.997259,5.069406,4.53853
8,3.901884,4.036072,5.120646,4.483994
9,3.87163,3.368294,6.502058,6.475136
10,4.565855,7.116543,3.663926,6.154775
11,3.901884,4.036072,5.120646,4.483994
12,5.826436,5.726235,5.297114,7.156275
13,5.698537,4.178658,5.069406,4.576128
14,7.62261,5.206618,5.009927,4.719514
15,6.050883,1.991867,6.102866,7.610268
16,3.901884,2.529094,5.001313,4.321867
17,5.196197,7.174143,5.133749,7.089185
18,6.24124,5.864358,5.899814,4.419227
19,5.12359,7.116543,3.925197,8.469069
20,5.988524,3.20202,4.785373,7.125087
21,6.678164,6.616021,6.541971,6.970497
22,4.478548,4.519241,5.001313,6.04521
23,4.916908,4.363061,2.833025,4.169592
24,3.913963,4.333565,5.133749,6.755681
25,5.12359,7.78903,4.83806,8.469069
